City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,sabang,100,ID,1686504984,79,5.8933,95.3214,83.53,21.32
1,tiksi,100,RU,1686504984,98,71.6872,128.8694,30.85,15.1
2,longyearbyen,75,SJ,1686504984,75,78.2186,15.6401,40.84,12.66
3,chisec,92,GT,1686504984,31,15.8167,-90.2833,97.03,4.52
4,port mathurin,45,CD,1686504985,56,-7.0349,29.7638,78.49,1.79
5,badger,0,US,1686504985,42,64.8,-147.5333,62.51,13.8
6,papatowai,16,NZ,1686504985,90,-46.5619,169.4708,46.62,9.44
7,kapuskasing,75,CA,1686504896,57,49.4169,-82.4331,50.09,6.91
8,mugia,94,ES,1686504985,82,43.1041,-9.2179,73.17,8.61
9,altay,89,CN,1686504986,65,47.8667,88.1167,67.53,6.82
10,cascais,20,PT,1686504986,82,38.6979,-9.4215,76.51,13.0
11,ewo,78,CG,1686504986,80,-0.8725,14.8206,77.32,5.66
12,ust-nera,82,RU,1686504986,64,64.5667,143.2,59.05,8.57
13,hasaki,100,JP,1686504987,96,35.7333,140.8333,68.4,6.98
14,adamstown,72,PN,1686504987,62,-25.066,-130.1015,69.33,16.8
15,avarua,1,CK,1686504987,100,-21.2078,-159.775,69.85,3.44
16,puerto natales,0,ES,1686504881,60,36.5939,-6.233,80.62,17.27
17,minas de marcona,51,UY,1686504987,60,-34.3759,-55.2377,48.9,12.77
18,cavelossim,65,IN,1686504988,82,15.1726,73.9419,82.38,11.34
19,invercargill,33,NZ,1686504988,91,-46.4,168.35,43.48,8.34
20,georgetown,20,MY,1686504846,85,5.4112,100.3354,84.13,3.44
21,pajan,97,EC,1686504989,79,-1.5667,-80.4167,82.22,1.92
22,vadso,0,NO,1686504989,47,70.0744,29.7487,70.68,12.66
23,thompson,75,CA,1686504989,43,55.7435,-97.8558,73.56,8.05
24,edinburgh of the seven seas,20,GB,1686504989,84,55.9521,-3.1965,71.73,11.5
25,iskateley,96,RU,1686504990,63,67.6803,53.1512,37.58,11.1
26,bang pakong,96,CM,1686504990,55,9.8732,13.9831,86.43,3.91
27,damoh,39,IN,1686504990,19,23.8333,79.45,98.37,5.41
28,punta arenas,99,PH,1686504990,90,8.9897,125.34,77.31,4.09
29,laguna,0,US,1686504991,63,38.421,-121.4238,77.02,8.05
30,poronaysk,99,RU,1686504991,98,49.2167,143.1167,48.16,1.5
31,waitangi,100,NZ,1686504991,79,-43.9535,-176.5597,49.82,15.08
32,pisco,75,PE,1686504880,60,-13.7,-76.2167,73.45,9.22
33,margaret river,61,US,1686504991,60,33.6862,-86.475,88.2,1.01
34,geraldton,75,AU,1686504992,82,-28.7667,114.6,54.01,0.0
35,grytviken,97,GS,1686504992,86,-54.2811,-36.5092,28.47,11.9
36,jamestown,40,US,1686504876,41,42.097,-79.2353,80.53,9.22
37,keflavik,75,IS,1686504993,71,64.0049,-22.5624,49.91,17.27
38,dadukou,100,CN,1686504993,90,26.5479,101.7054,63.23,1.1
39,nadym,75,RU,1686504993,56,65.5333,72.5167,48.2,11.99
40,banff,96,CA,1686504993,55,51.1762,-115.5698,66.58,3.44
41,attapeu,100,LA,1686504994,99,14.8,106.8333,75.67,2.95
42,covington,100,US,1686504704,89,39.0837,-84.5086,71.24,12.66
43,touros,39,BR,1686504994,77,-5.1989,-35.4608,81.0,12.5
44,durant,0,US,1686504902,56,33.994,-96.3708,92.48,3.44
45,ambam,92,CM,1686504995,95,2.3833,11.2833,70.93,3.38
46,san patricio,85,ML,1686504995,49,13.3034,-4.8956,83.05,16.22
47,ilulissat,100,GL,1686504995,93,69.2167,-51.1,32.02,4.61
48,ghat,54,LY,1686504995,18,24.9647,10.1728,94.48,23.76
49,bethel,0,US,1686504933,52,41.3712,-73.414,84.34,9.22
50,shalqar,6,KZ,1686504996,18,47.8333,59.6,78.03,10.56
51,tual,98,ID,1686504996,80,-5.6667,132.75,81.01,18.81
52,ust-tsilma,98,RU,1686504997,68,65.441,52.1498,41.31,3.74
53,labytnangi,100,RU,1686504997,87,66.6572,66.4183,39.13,12.44
54,north ward,63,FR,1686504997,78,50.3333,3.6667,78.15,3.78
55,posto fiscal rolim de moura,18,BR,1686504997,51,-8.1903,-36.7017,77.95,15.88
56,petropavlovsk-kamchatsky,0,RU,1686504998,70,53.0452,158.6483,43.39,8.95
57,uturoa,52,PF,1686504998,63,-16.7333,-151.4333,79.99,16.84
58,port douglas,45,CD,1686504998,56,-7.0349,29.7638,78.49,1.79
59,zinder,20,NE,1686504998,46,13.8072,8.9881,91.36,6.91
60,enewetak,99,MH,1686504999,80,11.3474,162.3373,82.18,16.13
61,dili,100,TL,1686504999,63,-8.5586,125.5736,76.5,4.38
62,port-aux-francais,97,TF,1686504999,85,-49.35,70.2167,41.76,38.36
63,port augusta,45,CD,1686504999,56,-7.0349,29.7638,78.49,1.79
64,tazacorte,40,ES,1686505000,87,28.629,-17.9293,76.17,7.0
65,zeya,75,RU,1686505000,69,53.75,127.2667,61.86,2.57
66,isafjordur,0,IS,1686505000,35,66.0755,-23.124,57.24,17.27
67,ushuaia,100,AR,1686505000,75,-54.8,-68.3,35.26,24.16
68,yellowknife,100,CA,1686504995,87,62.456,-114.3525,46.56,23.02
69,praia da vitoria,0,CV,1686505001,51,14.9215,-23.5087,86.54,25.32
70,san jose de jachal,85,ML,1686505001,49,13.3034,-4.8956,83.05,16.22
71,bariadi,94,TZ,1686505002,44,-2.8,33.9833,74.23,3.71
72,piti village,99,SL,1686505002,93,8.6953,-11.7017,75.67,3.02
73,kingston,20,JM,1686504873,68,17.997,-76.7936,90.25,19.57
74,ebon,97,MH,1686505002,77,4.582,168.6964,82.71,16.13
75,puerto ayora,0,ES,1686504881,60,36.5939,-6.233,80.62,17.27
76,kailua-kona,40,US,1686504765,90,19.6406,-155.9956,75.22,5.75
77,kenai,100,US,1686505003,64,60.5544,-151.2583,50.14,13.8
78,bilibino,100,RU,1686505003,65,68.0546,166.4372,57.96,1.32
79,haiku-pauwela,0,US,1686504800,69,20.9219,-156.3051,75.22,17.27
80,chebba,5,TN,1686505004,74,35.2372,11.115,74.07,13.18
81,sitka,75,US,1686504797,71,57.0531,-135.33,53.49,0.0
82,tanjung selor,80,ID,1686505004,84,-8.356,116.1565,76.17,2.93
83,island harbour,100,US,1686505004,90,48.1331,-122.5846,63.9,11.01
84,ukata,98,NG,1686505005,75,10.8312,5.8249,79.14,6.26
85,mogoytuy,0,RU,1686505005,54,51.2833,114.9167,60.21,2.37
86,iqaluit,100,CA,1686505005,81,63.7506,-68.5145,37.13,13.8
87,selfoss,63,IS,1686505005,67,63.9331,-20.9971,50.11,15.5
88,natal,75,BR,1686504983,89,-5.795,-35.2094,79.02,12.66
89,harstad,99,NO,1686505006,91,68.799,16.5293,52.16,28.01
90,wailua homesteads,20,US,1686505006,85,22.0492,-159.3352,77.34,11.5
91,lebu,27,CL,1686505006,65,-37.6167,-73.65,49.35,21.39
92,hamilton,100,US,1686505004,93,39.1834,-84.5333,70.77,12.66
93,ancud,91,CL,1686505007,73,-41.8697,-73.8203,46.78,1.77
94,malango,97,ID,1686505007,98,-2.9627,119.9001,67.37,1.05
95,mar del plata,20,ES,1686505007,94,43.4002,-4.0094,70.14,6.91
96,marat,1,SA,1686505008,11,25.0701,45.4615,98.46,10.54
97,ribeira grande,20,ES,1686505008,56,42.7461,-8.4439,73.33,8.05
98,salinopolis,9,BR,1686505008,71,-0.6136,-47.3561,84.18,11.68
99,siem reap,2,DK,1686505009,59,56.8206,10.0122,69.39,10.58
100,murcki,22,PL,1686505009,54,50.2004,19.0435,67.77,10.94
101,albany,100,US,1686505009,44,42.6001,-73.9662,82.44,4.0
102,west island,75,US,1686505010,63,31.8024,-97.0917,91.89,4.0
103,hilo,75,US,1686504786,83,19.7297,-155.09,74.62,4.61
104,fortuna,100,US,1686505010,100,40.5982,-124.1573,55.74,4.61
105,tura,21,IN,1686505010,95,25.5198,90.2201,74.64,5.26
106,tamiahua,94,MX,1686505011,69,21.2667,-97.45,89.28,10.74
107,colindres,86,ES,1686505011,87,43.3864,-3.4353,75.72,4.54
108,kresek,17,ID,1686505003,82,-6.1314,106.3797,81.1,3.47
109,saint-joseph,30,RE,1686505011,78,-21.3667,55.6167,71.98,3.58
110,susuman,53,RU,1686505012,57,62.7833,148.1667,55.94,4.29
111,belmonte,8,BR,1686505012,65,-15.8631,-38.8828,79.81,7.56
112,dali,100,CN,1686505012,92,25.7,100.1833,57.58,3.02
113,harper,99,LR,1686505013,81,4.375,-7.7169,78.31,12.03
114,port elizabeth,45,CD,1686504999,56,-7.0349,29.7638,78.49,1.79
115,vorgashor,100,RU,1686505013,77,67.5833,63.95,35.04,21.32
116,chonchi,95,CL,1686504753,81,-42.6128,-73.8092,50.13,4.43
117,nemuro,100,JP,1686505014,99,43.3236,145.575,52.68,9.37
118,whitehorse,75,CA,1686505015,50,60.7161,-135.0538,54.1,11.5
119,mejit,63,MH,1686505016,81,10.2753,170.8646,81.68,16.89
120,fale old settlement,100,NO,1686505016,62,62.6287,8.8645,67.08,4.99
121,aral,1,CN,1686505016,13,40.5156,81.2636,87.48,10.98
122,vytegra,20,RU,1686505016,63,61.0064,36.4481,53.83,4.63
123,aasiaat,100,GL,1686505017,96,68.7098,-52.8699,34.25,12.97
124,saint-philippe,53,RE,1686505017,78,-21.3585,55.7679,72.99,7.49
125,tralee,75,IE,1686505017,73,52.2704,-9.7026,68.25,8.05
126,arraial do cabo,14,BR,1686505017,47,-22.8362,-46.646,74.61,8.68
127,afaahiti,69,PF,1686505018,72,-17.75,-149.2833,73.27,19.57
128,beloyarskiy,99,RU,1686504831,97,63.7119,66.6722,38.89,10.25
129,blagoveshchenka,0,RU,1686505018,64,52.8333,79.8667,57.83,6.93
130,takoradi,100,GH,1686505019,74,4.8845,-1.7554,79.25,11.36
131,groesbeek,19,NL,1686505019,26,51.7667,5.9167,85.51,10.36
132,utrik,86,MH,1686505019,80,11.2278,169.8474,81.77,17.2
133,college,75,US,1686505020,42,64.8569,-147.8028,62.58,13.8
